"Tx Port","Rx Port","Traffic Item","UDP:UDP-Source-Port","UDP:UDP-Dest-Port","Source/Dest Endpoint Pair","Tx Frames","Rx Frames","Frames Delta","Loss %","Tx Frame Rate","Rx Frame Rate","Tx L1 Rate (bps)","Rx L1 Rate (bps)","Rx Bytes","Tx Rate (Bps)","Rx Rate (Bps)","Tx Rate (bps)","Rx Rate (bps)","Tx Rate (Kbps)","Rx Rate (Kbps)","Tx Rate (Mbps)","Rx Rate (Mbps)","Store-Forward Avg Latency (ns)","Store-Forward Min Latency (ns)","Store-Forward Max Latency (ns)","First TimeStamp","Last TimeStamp","Dead Flow"
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1000,1000,"10.30.1.111-10.30.2.222",2973097,2973097,0,0.000,0.000,0.000,0.000,0.000,4067648900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,114922,67820,184380,"00:00:00.610","00:04:57.920",0
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1001,1001,"10.30.1.111-10.30.2.222",2973097,2973097,0,0.000,0.000,0.000,0.000,0.000,4065147800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,102904,55500,193470,"00:00:00.610","00:04:57.920",0
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1002,1002,"10.30.1.111-10.30.2.222",2973097,2973097,0,0.000,0.000,0.000,0.000,0.000,4063289000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,103995,61920,191890,"00:00:00.610","00:04:57.920",0
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1003,1003,"10.30.1.111-10.30.2.222",2973097,2972909,188,0.006,0.000,0.000,0.000,0.000,4057696300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,94539,51450,161980,"00:00:00.610","00:04:57.920",0
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1004,1004,"10.30.1.111-10.30.2.222",2973097,2973097,0,0.000,0.000,0.000,0.000,0.000,4062354700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,111751,62260,206500,"00:00:00.610","00:04:57.920",0
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1005,1005,"10.30.1.111-10.30.2.222",2973096,2972908,188,0.006,0.000,0.000,0.000,0.000,4060715200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,82624,52050,190920,"00:00:00.610","00:04:57.920",0
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1006,1006,"10.30.1.111-10.30.2.222",2973096,2973096,0,0.000,0.000,0.000,0.000,0.000,4062782000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,99560,58510,199620,"00:00:00.610","00:04:57.920",0
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1007,1007,"10.30.1.111-10.30.2.222",2973096,2972908,188,0.006,0.000,0.000,0.000,0.000,4068428500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,81551,50470,191800,"00:00:00.610","00:04:57.920",0
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1008,1008,"10.30.1.111-10.30.2.222",2973096,2972909,187,0.006,0.000,0.000,0.000,0.000,4065444300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,96256,47990,194300,"00:00:00.610","00:04:57.920",0
"P2/3-QFX1","P2/8-QFX2","Traffic Item 1",1009,1009,"10.30.1.111-10.30.2.222",2973096,2973096,0,0.000,0.000,0.000,0.000,0.000,4061133600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,105828,66300,205720,"00:00:00.610","00:04:57.920",0
